Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>100	>5k	>500	>50	>10k+	>1k	>10
230929-COI-COL-076-B3_S138_L001_R1_001										24.26085994658913	0.0	1.5217356952104042	9.59341371300349	0.0	0.0	23.156297899909926
230929-COI-COL-076-B3_S138_L001_R2_001										13.681399427966436	8.932888769495758	7.47120079642242	4.274449694230678	19.575557416683786	11.715626629584564	8.052715579223488
230929-COI-COL-076-S1_S133_L001_R1_001										20.32997583456299	0.0	0.5528111032698189	19.230769230769234	0.0	1.4713115630546825	24.703278373003144
230929-COI-COL-076-S1_S133_L001_R2_001										7.852697760954641	0.0	5.3623746284296745	3.4451786745364728	21.239922157353348	29.642223220204873	6.3354077115545
230929-COI-COL-076-S2_S134_L001_R1_001										30.14808725083012	0.0	0.0	11.964424894032735	0.0	1.673054953502525	19.695497592381034
230929-COI-COL-076-S2_S134_L001_R2_001										7.492980002348896	16.267176306039868	4.788545926266002	3.9856503774249687	0.0	15.309467120786666	8.453892228355452
230929-COI-COL-076-S3_S135_L001_R1_001										24.90315165806343	0.0	0.0	15.58490453874429	0.0	1.8596863203574718	18.94462553625744
230929-COI-COL-076-S3_S135_L001_R2_001										12.083502590878917	10.832152658747065	5.8445868959982565	3.050598924017398	16.879848609446057	18.94462553625744	7.220774588580317
230929-COI-COL-077-B1_S146_L001_R1_001										39.37359128474831	0.0	0.8170548459804657	8.167417981467569	0.0	0.0	18.987916353618832
230929-COI-COL-077-B1_S146_L001_R2_001										5.490859003255697	21.31542699724518	4.878850488354621	2.779864763335838	19.155396944653145	11.122589531680442	7.60862759829702
230929-COI-COL-077-B2_S147_L001_R1_001										39.693491673853906	0.0	0.0	8.58156969415511	0.0	1.611048453083881	15.82962913819412
230929-COI-COL-077-B2_S147_L001_R2_001										9.765806408810455	24.491917114487276	6.018487803799288	2.2789093080342333	16.977376766403506	8.67887392467768	7.045710873747761
230929-COI-COL-077-B3_S148_L001_R1_001										27.509163520980362	0.0	0.0	9.115378302970623	0.0	2.368838557907982	20.612724984955413
230929-COI-COL-077-B3_S148_L001_R2_001										6.509108813392417	16.245965315389242	6.667760818425515	2.721155424257345	12.517096121232015	17.716505279282234	7.463209147108704
230929-COI-COL-077-S1_S143_L001_R1_001										25.373082206132285	0.0	0.0	6.8807766628640605	0.0	3.422345354224385	27.10287989197495
230929-COI-COL-077-S1_S143_L001_R2_001										8.03669126719903	0.0	7.083323632807953	3.7971736549251505	12.882685726258932	31.994272809815378	7.4057690964542635
230929-COI-COL-077-S2_S144_L001_R1_001										13.13038921442523	0.0	0.0	18.785193654423324	0.0	2.19046257920061	26.533276165975895
